,Product,Overall Stars,Number of Reviews,Price,Title of Review,Name,Individual Review,Location,Product Description,State,Review,Helpful,Date
1057,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Stunning product,elaine bunce,5.0,United Kingdom,Colour: Blue,Verified Purchase,Loved the product amazing price and a perfect present for new mums,0,2020-03-26
1061,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Happy after buying this product.,Smita Singh,4.0,United Kingdom,Colour: Blue,Verified Purchase,Satisfied with my purchase.,0,2020-01-09
1064,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Great product,kelly,5.0,United Kingdom,Colour: Blue,Verified Purchase,Great product everything u need for a baby,0,2020-02-10
1075,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Good,Debora,5.0,United Kingdom,Colour: Blue,Verified Purchase,Good,0,2020-03-22
1076,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,As pictured,Sally Bennett,4.0,United Kingdom,Colour: Blue,Verified Purchase,"Only needed a thermometer,",0,2020-03-25
1081,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Value for money,Amazon Customer,4.0,United Kingdom,Colour: Blue,Verified Purchase,Perfect for its purpose.,0,2020-03-30
1082,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Very good,Amy,5.0,United Kingdom,Colour: Blue,Verified Purchase,Very good,0,2020-01-11
1084,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Has everything you need 👍,Lisa,5.0,United Kingdom,Colour: Blue 2,Verified Purchase,👍,0,2020-03-29
1089,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Great value,ChristopherJones,5.0,United Kingdom,Colour: Blue,Verified Purchase,Essential items at a great price,0,2020-03-30
1090,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Love it,Holly,5.0,United Kingdom,Colour: Blue,Verified Purchase,Love the product,0,2020-03-28
1099,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Great value,Anton Kiri,5.0,United Kingdom,Colour: Blue,Verified Purchase,Very nice one,0,2020-01-30
1108,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,A must have!,Genny Tanaka,5.0,United Kingdom,Colour: Blue,Verified Purchase,"Arrived as described. Good, hard case. Looks smart and has everything you need, just in case, for baby. Love it.",0,2020-03-11
1109,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Beautiful,Amazon Customer,5.0,United Kingdom,Colour: Blue,,A gift,0,2020-02-27
1110,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Worth the buy,Crystals22,5.0,United Kingdom,Colour: Blue,Verified Purchase,Brought this case as a present and they were very pleased with the contents inside. Going to recommend item to her friends.,0,2020-02-26
1119,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Good product,GISELA DE VIVO,5.0,United Kingdom,Colour: Blue,Verified Purchase,Great new baby gift,0,2019-12-11
1128,"Lictin Baby Health Care Kit - Baby Grooming Kit Newborn Baby Care Accessories, 15PCS Safety Cutter Nail Care Set",4.,2245,14.99,Cute,Rebecca,5.0,United Kingdom,Colour: Blue,Verified Purchase,"Does the job, all you need in one box",0,2020-03-22
1276,"NRS Healthcare M80282 Kura Care Easy Grip Children's Cutlery Set, Multi-Colour",4.7,1168,10.99,REVOLUTIONISED our stressful mealtimes,K. Higham,5.0,United Kingdom,,Verified Purchase,"Junior still can't hold a spoon at 2.5 years, has developmental delay and sensory issues amongst other things and always big issues around food generally. For some reason he uses finger and thumb to hold cutlery /really weak fist if we're lucky and ends up turning it upside down before it reaches his mouth (again for unknown reasons!) He also won't touch most food so we end up feeding him, but given his age he's been point blank refusing as he's craving control but just can't manage it. We've tried EVERYTHING...or so we thought!

The shape of this set has just meant he has managed to stab tomatoes and strawberries, scooped omelette and yoghurt and SOME MADE IT TO HIS MOUTH rather than his lap! We did iiiiiit!!!

Also arrived in a couple of days and the colours are appealing to children. The edges are curved so risk of injury is less, but the knife actually does cut and the fork is still pointed enough to actually get through food such as tomato skins, peppers etc.

We have had such stress around mealtimes recently and it sounds dramatic but it's honestly helped a situation that was starting to make the whole family miserable and dread mealtimes. Thank you so much!",3,2020-02-16
1292,"NRS Healthcare M80282 Kura Care Easy Grip Children's Cutlery Set, Multi-Colour",4.7,1168,10.99,Comfortable,louise stacey,5.0,United Kingdom,,Verified Purchase,"They have helped my daughter so much. She has hyper mobility which causes her so much pain. And this cutlery has made life so much easier for her. We have a set for home, school and travelling.",0,2020-02-14
1303,"NRS Healthcare M80282 Kura Care Easy Grip Children's Cutlery Set, Multi-Colour",4.7,1168,10.99,Friends faughter can b use her cutlery much better now,H Oakley,5.0,United Kingdom,,Verified Purchase,For a friends daughter as she struggled with normal cutlery. Its easier for her to use them as she can hold them and grip them much easier and better for her to use. Friends daughter is very happy with them.,0,2020-04-01
1307,"NRS Healthcare M80282 Kura Care Easy Grip Children's Cutlery Set, Multi-Colour",4.7,1168,10.99,Not age appropriate,Ty Lloyd-Smith,2.0,United Kingdom,,Verified Purchase,I didn't realise these would be so small. I brought them for my 10 year old daughter. I think they would be more suitable for younger children,0,2020-03-14
1309,"NRS Healthcare M80282 Kura Care Easy Grip Children's Cutlery Set, Multi-Colour",4.7,1168,10.99,Easy to recommend,Jenna Spiller,5.0,United Kingdom,,Verified Purchase,"Really pleased we ordered these. My son is super hyper mobile and was struggling to use a flat knife, fork and spoon. We purchased these and it has made a drastic difference to his eating and confidence. I would highly recommend these, they have taught his really good cutting skills with a knife to.",0,2020-02-26
1313,"NRS Healthcare M80282 Kura Care Easy Grip Children's Cutlery Set, Multi-Colour",4.7,1168,10.99,Simple but impressive,Charlie Ntamark,5.0,United Kingdom,,Verified Purchase,My 5 year old daughter who has severe dyspraxia has found these so much easier to use than normal cutlery. Will get more for her.,0,2020-02-07
1323,"NRS Healthcare M80282 Kura Care Easy Grip Children's Cutlery Set, Multi-Colour",4.7,1168,10.99,Easy for young hands to use,janice S,5.0,United Kingdom,,Verified Purchase,These were bought for my grandchildren to practice using proper cutlery. They found them easy to handle.,0,2020-01-29
1332,"NRS Healthcare M80282 Kura Care Easy Grip Children's Cutlery Set, Multi-Colour",4.7,1168,10.99,Easy to use,KatieJ,5.0,United Kingdom,,Verified Purchase,"Brilliant,  after some practice my child can now eat independently without tiring.",0,2020-03-10
1337,"NRS Healthcare M80282 Kura Care Easy Grip Children's Cutlery Set, Multi-Colour",4.7,1168,10.99,Love them,simon,5.0,United Kingdom,,Verified Purchase,My son is autistic and is behind with these thing and makes meal times so much easier and less stressful,0,2019-12-02
1338,"NRS Healthcare M80282 Kura Care Easy Grip Children's Cutlery Set, Multi-Colour",4.7,1168,10.99,Good size but not really suitable for Left-hander.,Charles Hall,5.0,United Kingdom,,Verified Purchase,Smaller than most cutlery but was difficult to use for disabled Left-handed 80+ Yr-old.,0,2019-12-04
1348,"NRS Healthcare M80282 Kura Care Easy Grip Children's Cutlery Set, Multi-Colour",4.7,1168,10.99,Easy to use,Amazon Customer,5.0,United Kingdom,,Verified Purchase,My son is now eating his meals a lot faster and not making as much mess from spillage. Very happy.,0,2020-03-02
1357,"NRS Healthcare M80282 Kura Care Easy Grip Children's Cutlery Set, Multi-Colour",4.7,1168,10.99,Great for kids,Mr. M. Lodge,5.0,United Kingdom,,Verified Purchase,Bought for 5 yo grandson. Easy to hold and manoeuvre. He likes them,0,2020-03-24
1358,"NRS Healthcare M80282 Kura Care Easy Grip Children's Cutlery Set, Multi-Colour",4.7,1168,10.99,Children will like these,Shelley BG,5.0,United Kingdom,,Verified Purchase,Children size. Not suitable for adult hands,0,2020-01-12
1370,"NRS Healthcare M80282 Kura Care Easy Grip Children's Cutlery Set, Multi-Colour",4.7,1168,10.99,Cutlery for child having difficulty using standard cutlery,Amazon Customer,5.0,United Kingdom,,Verified Purchase,Just right for what we needed.,0,2020-01-11
1373,"NRS Healthcare M80282 Kura Care Easy Grip Children's Cutlery Set, Multi-Colour",4.7,1168,10.99,Great support aid for dcd/dyspraxia,Amazon Customer,5.0,United Kingdom,,Verified Purchase,Brought for my son when he was diagnosed with dcd/dyspraxia which explained why at 7 years old he couldn't cut his dinner. These have helped him massively and he was so happy and excited to be able to cut things himself at dinner time.,0,2020-02-22
1374,"NRS Healthcare M80282 Kura Care Easy Grip Children's Cutlery Set, Multi-Colour",4.7,1168,10.99,Supports independence,Izzy,4.0,United Kingdom,,Verified Purchase,My son who has special needs really loves these cutlery as he can eat confidently in and outside of the home without worrying about how to hold normal cutlery properly.,0,2020-01-15
1423,"NRS Healthcare M80282 Kura Care Easy Grip Children's Cutlery Set, Multi-Colour",4.7,1168,10.99,Easy grip,Amanda redmond,5.0,United Kingdom,,Verified Purchase,Really helped both my autistic children who have issue with grip,0,2020-02-09
1473,"NRS Healthcare M80282 Kura Care Easy Grip Children's Cutlery Set, Multi-Colour",4.7,1168,10.99,Easy to use!,John Adams,5.0,United Kingdom,,Verified Purchase,They are exactly what we needed to help our son who has co-ordination and grip issues...... :-),0,2020-03-15
1520,"NRS Healthcare M80282 Kura Care Easy Grip Children's Cutlery Set, Multi-Colour",4.7,1168,10.99,ok,Mr Peter Blackman,4.0,United Kingdom,,Verified Purchase,Ok,0,2020-03-05
1603,"Oxbow Animal Health Critical Care, Herbivore, Apple-Banana Flavor, 141 Gram Bag",4.8,1925,nan,Brilliant product!,House of Fraser,5.0,United Kingdom,Size Name: 141 g (Pack of 1)Colour Name: Multi-colored,Verified Purchase,Helped my bun through his neutering recovery. Highly recommend keeping some of this on standby for your small herbivores.,0,2020-02-02
1606,"Oxbow Animal Health Critical Care, Herbivore, Apple-Banana Flavor, 141 Gram Bag",4.8,1925,nan,Product to arrive on time,Amazon Customer,5.0,United Kingdom,Size Name: 141 g (Pack of 1)Colour Name: Multi-colored,Verified Purchase,This did not come next day when I needed it.,0,2020-03-03
1608,"Oxbow Animal Health Critical Care, Herbivore, Apple-Banana Flavor, 141 Gram Bag",4.8,1925,nan,My bunnies love it!,Amazon Customer,5.0,United Kingdom,Size Name: 141 g (Pack of 1)Colour Name: Multi-colored,Verified Purchase,"This was the only critical care my bunnies would take, they really enjoyed it, which made it easier for feeding when they weren’t able to feed themselves and get them back to good health :)",0,2020-02-20
2264,"Seven Seas JointCare Supplex & Turmeric, With Glucosamine, Omega-3, Vitamin C and D, Manganese, Food Supplements, 30-Day Pack",4.,3083,nan,really help with pain,Amazon Customer,5.0,United Kingdom,,Verified Purchase,have arthritis in both knees started taking these with my painkillers and I can say pain has eased immensely will be buying again,14,2020-02-27
2294,"Seven Seas JointCare Supplex & Turmeric, With Glucosamine, Omega-3, Vitamin C and D, Manganese, Food Supplements, 30-Day Pack",4.,3083,nan,Strange,Tantan,3.0,United Kingdom,,Verified Purchase,"Seems to be working,  but still early days.The odd thing is, you take one of each colour every day and yet I have more yellow ones than red ones???? I have not forgotten to take the yellow ones,  so it appears to be a product problem?",1,2020-02-14
2311,"Seven Seas JointCare Supplex & Turmeric, With Glucosamine, Omega-3, Vitamin C and D, Manganese, Food Supplements, 30-Day Pack",4.,3083,nan,"If you are in chronic pain , these wont do.",Amazon Customer,4.0,United Kingdom,,Verified Purchase,"If you are in chronic pain with arthritis these are not any good, sorry!!, whether they are good for less intense pain I cannot comment about, but others seem to think they are good.",0,2020-03-29
2375,"Seven Seas JointCare Supplex & Turmeric, With Glucosamine, Omega-3, Vitamin C and D, Manganese, Food Supplements, 30-Day Pack",4.,3083,nan,Too Early to say if it works,Melaine,3.0,United Kingdom,,Verified Purchase,"I've only been taking them for a few days, so don't expect anything to happen just yet.",0,2020-03-29
2405,"Seven Seas JointCare Supplex & Turmeric, With Glucosamine, Omega-3, Vitamin C and D, Manganese, Food Supplements, 30-Day Pack",4.,3083,nan,Good,michelle,5.0,United Kingdom,,Verified Purchase,These were good but I just could not afford the cost each month,0,2020-01-01
2412,"Seven Seas JointCare Supplex & Turmeric, With Glucosamine, Omega-3, Vitamin C and D, Manganese, Food Supplements, 30-Day Pack",4.,3083,nan,Ok,Chelle,5.0,United Kingdom,,Verified Purchase,Ok,0,2020-03-15
