,Product,Overall Stars,Number of Reviews,Price,Title of Review,Name,Individual Review,Location,State,Review,Helpful,Date
736,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,This rocks.,V,5.0,United Kingdom,Verified Purchase,Bought for my 9 year old daughter. Within minutes she'd got the hang of it. The radio is her personal favourite.She's in her room searching the airwaves for different stations and music and loves it.,0,2020-03-07
738,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Brilliant educational toy!,Robert Wilderspin,5.0,United Kingdom,Verified Purchase,My 11 year old grandson has not stopped building things since Christmas!It has got him off the Xbox!!,0,2020-01-12
744,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Value for money,RJA,4.0,United Kingdom,Verified Purchase,"My grandson received  the product as a Christmas gift  and he's very impressed , so well done to the manufacturer",0,2020-01-08
750,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Great present for 9 year old,C.j,5.0,United Kingdom,Verified Purchase,This was an excellent I'm as present for my 9 year old daughter! She loved it and did all the experiments independently,0,2020-01-11
757,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Hotwires,Mr M.,5.0,United Kingdom,Verified Purchase,Bought for 9yr old with Autism and he loves it...not sure my ceilings agree with the flying disc thingy.,0,2020-01-26
765,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Hot Wires Electronics Kit. Its great,Amazon Customer,5.0,United Kingdom,Verified Purchase,A brilliant and educational kit for hours of fun. Contains lots of experiments that will keep dad busy and kids if they can get a look in.,0,2020-01-03
792,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Excellent gift for  the curious mind,d.n.donnarumma,5.0,United Kingdom,Verified Purchase,"Wow, I'm well impressed. We bought it for our grandson 4 years old and he's a curious bright lad. He may be young but soon started thinking and with guidance from us is enjoying the fun of experimenting and seeing the results. We're only on the second experiment, excellent thank you .",0,2020-01-07
802,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Great toy,nicola astley,5.0,United Kingdom,Verified Purchase,Best money I've ever spent! brought for 9 yr old son for Christmas.he is loves anything to with wires and electronics.his played with it all day and keeps coming in to show me what new things his made.,0,2019-12-28
803,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Great learning toy,Amazon Customer,5.0,United Kingdom,Verified Purchase,Great for learning circuits and good for inquisitive minds,0,2020-01-10
804,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Really good and worth the money,CHARLOTTE,5.0,United Kingdom,Verified Purchase,Was really not sure about buying this for my daughter. But was the best Christmas present!,0,2020-01-20
812,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Enjoyable and Educational,Rob R,5.0,United Kingdom,Verified Purchase,What a great piece of kit.  This hassfast become my boys favourite xmas present.  He loves it.  Highly recommend,0,2019-12-30
819,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,A massive hit with my 6 year old,Andrea,5.0,United Kingdom,Verified Purchase,"Excellent toy,fun, educational and good value for money. My son has spent hours playing with this and we intend on buying him further sets similar in the future",0,2020-01-11
821,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Very good,TFM,5.0,United Kingdom,Verified Purchase,"My son loves this, and the instructions are very simple. Anyone who can follow Lego instructions can build the circuits, and learn through play. Understanding how things work will require someone who understands electronics to explain, but you can get a lot out of it without.",0,2020-02-27
835,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Great educational game,Wayne MJ,5.0,United Kingdom,Verified Purchase,Great educational toy. Easy instructions to follow.,0,2020-01-21
840,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Great product,Richie Morris,5.0,United Kingdom,Verified Purchase,Usual great product from John Adams,0,2020-01-04
861,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Super,D,5.0,United Kingdom,Verified Purchase,Great toy,0,2020-01-19
864,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Does the job,Allan G.,5.0,United Kingdom,Verified Purchase,Brill,0,2019-12-07
872,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,More than satisfied - great deal.,Amazon Customer,4.0,United Kingdom,Verified Purchase,"My granddaughter (aged 10+) could use it straight away, although we thought batteries were supposed to be included - but she really enjoyed, and is continuing to enjoy it. I am always more than satified with things from Amazon",0,2020-02-02
874,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Exellent,Alan heffron,5.0,United Kingdom,Verified Purchase,Exellent,0,2020-01-01
893,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Missing part,davidc,1.0,United Kingdom,Verified Purchase,Missing part.. got this for a christmas present and its only just heen used. How can I get this resolved? See picture for mising part,0,2020-02-23
925,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,👍,Nicoleta Novac,5.0,United Kingdom,Verified Purchase,👍👍,0,2020-01-17
931,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Awesome,Churchill,5.0,United Kingdom,Verified Purchase,Absolutely amazing product. Quality items that snap together into 112 experiments. Brilliant. My 9 yr old loves it!!!!,0,2020-02-16
944,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Perfect gift,Miss C Reed,5.0,United Kingdom,Verified Purchase,Brilliant Product - my 8yo Daughter loves it fairly easy to use following instructions so isn’t too easy she not interested  would love to see add on packs to make more things over the years,0,2019-12-27
961,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Brilliant toy!,Amazon Customer,5.0,United Kingdom,Verified Purchase,My 7 year old loves this and plays all the time. Great welcomed alternative to computer games!,0,2019-12-30
973,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,No product support,Amazon Customer,3.0,United Kingdom,Verified Purchase,The concept  of  the product is  good. However  I received damaged bulbs and can't  get through to product  support. This is ridiculous,0,2019-12-30
980,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Great kit!,Amazon Customer,5.0,United Kingdom,Verified Purchase,Great kit! Clear instructions and easy to use.,0,2020-03-01
983,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Value for money.,Hope & Trust !,5.0,United Kingdom,Verified Purchase,I bought it as a gift for my 11yr old son for his birthday and he loved it ..!!,0,2020-01-17
1011,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,no recibo,popsy,1.0,United Kingdom,Verified Purchase,no  recibo,0,2019-12-16
1015,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Fab,Rhonda,5.0,United Kingdom,Verified Purchase,Super gift for a 9yr old,0,2020-02-17
1020,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,"Quite difficult for younger kids, but good.",d London,4.0,United Kingdom,Verified Purchase,Really good and lots to do. Too complicated for my 7 year old to do alone though.,0,2020-02-03
1085,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,You need batteries,Amazon Customer,5.0,United Kingdom,Verified Purchase,The daughter loves this she can follow the instructions,0,2019-12-31
1120,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Fantastic!,Jess’ account,5.0,United Kingdom,Verified Purchase,Great fun. Very easy to use little one loves it!,0,2020-01-13
1126,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Perfect start to electronics,Amazon Customer,5.0,United Kingdom,Verified Purchase,It's a great way for children to become interested in electronics. My boys really like it.,0,2020-01-17
1166,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Fantastic for intrigued little ones,Stuart Melhuish,5.0,United Kingdom,Verified Purchase,My 9 year old absolutely loves creating with this......it’s very clever,0,2020-01-04
1173,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Good product,Amazon Customer,4.0,United Kingdom,Verified Purchase,Son loved it,0,2020-02-08
1184,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Educational and fun for kids,hayley,5.0,United Kingdom,Verified Purchase,Really awesome gift loved by my sons,0,2020-01-27
1200,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Hotwires,Billy nomates,5.0,United Kingdom,Verified Purchase,Good,0,2020-02-05
1229,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Poor Quality,SR,3.0,United Kingdom,Verified Purchase,The spinner was damaged on opening so my son could not use it.Disappointed on Christmas Day.,0,2019-12-31
1238,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Brilliant,Kelly keenan,5.0,United Kingdom,Verified Purchase,My 9 year old loves it,0,2020-02-15
1287,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Excellent,Amazon Customer,4.0,United Kingdom,Verified Purchase,Excellent,0,2020-01-08
1340,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Nois,amanda lewis,5.0,United Kingdom,Verified Purchase,Good,0,2020-01-11
1506,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,"Really well made kit, lots to do, well explained",kwing,5.0,United Kingdom,nan,"My son won this as a competition prize.  He's recently turned 7 and I wasn't sure if he would manage given it says 8+, but it's a brilliant combination of being simple to put together, but having enough about it for it to be suitable for much older in terms of the learning involved.  He can follow the instructions himself, but the concepts will keep him learning more for several years.  His current favourite is the spinning disc (although he did lose it behind a bookcase yesterday).  We were at a relatives on Saturday and he literally spent all day on it, several hours on it on Sunday, did another two experiments before school today (and was excited to show me his dark activated light).  My 70+ year old Dad loved doing some of it with him - especially the sound activated light.  I thought I might be worried about him breaking it but it's really solid construction.",0,2020-01-20
1650,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Educational and fun,Sharon L. Morrissey,5.0,United Kingdom,Verified Purchase,"We bought this for my daughters 11th birthday. She loves it. It's easy to use and educational. She's already made a radio, rotating disc, lightbulb and sound machine. I'm very impressed with the kit. Worth buying.",0,2019-12-05
1653,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Great,h,5.0,United Kingdom,Verified Purchase,Boys love it 8&5yrs old,0,2020-01-27
1662,Hot Wires Electronics Kit from John Adams,4.7,2390,35.99,Brilliant,s j h,4.0,United Kingdom,Verified Purchase,My son loved it,0,2020-01-14
1670,Stylophone The Original Pocket Electronic Organ,4.,4755,24.99,Dreadful item of the poorest quality,Winstanley,1.0,United Kingdom,Verified Purchase,"A present for my young nephew - if I could award minus 5 stars I would. This is an extremely poor imitation of the original - whilst pricey for what it is, it’s ultimately cheap and nasty. The manufacturers have cut every corner possible, using the cheapest, thinnest plastic, and the ‘keyboard’ is no longer made of sturdy metal but a stuck on foil sheet that scratches when the stylus is used. Complete rip off.",18,2020-01-02
1689,Stylophone The Original Pocket Electronic Organ,4.,4755,24.99,Keyboard without keys,2010 Figurskating Championships,3.0,United Kingdom,Verified Purchase,Thought this would produce a sliding tone - turns out it's a keyboard where the pen slides over marked keys only producing the tones of those keys.,0,2020-01-18
1695,Stylophone The Original Pocket Electronic Organ,4.,4755,24.99,Nostalgic treat,Laura2884,5.0,United Kingdom,Verified Purchase,My 12 year old decided he wanted this with some of his Christmas money and it has been a fab buy! Great value for a relevant nostalgic product.,1,2020-01-21
1709,Stylophone The Original Pocket Electronic Organ,4.,4755,24.99,Best retro prezzie,Starz15,5.0,United Kingdom,Verified Purchase,Absolutely fantastic. This was a present gif my 11yr old and his face lit up when he opened it. He's already mastered several tunes on it and he's eager to learn lots more,1,2019-12-25
1715,Stylophone The Original Pocket Electronic Organ,4.,4755,24.99,Thanks,Debbie,5.0,United Kingdom,Verified Purchase,Made my mom happy after her this as her father used play one all the time as we sat round listening him play tunes. We still got it almost 50 years still works pretty well for its age,1,2020-01-17
1717,Stylophone The Original Pocket Electronic Organ,4.,4755,24.99,Good value.,Lenny,5.0,United Kingdom,Verified Purchase,Our children had one years ago.I'm in my second childhood.,1,2020-01-17
1720,Stylophone The Original Pocket Electronic Organ,4.,4755,24.99,Hmmmmmm,Troy Stark,3.0,United Kingdom,Verified Purchase,One key didn’t work,0,2020-03-27
1721,Stylophone The Original Pocket Electronic Organ,4.,4755,24.99,Music making fun.,Paul,5.0,United Kingdom,Verified Purchase,Simple keyboard. Striking sounds.,1,2020-02-17
1727,Stylophone The Original Pocket Electronic Organ,4.,4755,24.99,Still an amusing instrument.,StevenP,4.0,United Kingdom,Verified Purchase,"Nice item, but build quality not as good as the originals. Still worth buying if you fancy a bit of fun.",0,2019-12-17
