Product,Category_x,Price_x,Individual Review,Location,Date,Review,Helpful
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-01-19,"
  Very comfortable great fit perfect product
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-06-08,"
  Only used twice so far very comfy would reccomend :)
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,4.0,United Kingdom,2020-06-19,"
  Very comfy, starting to wear a little after couple weeks but good purchase overall.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-02-21,"
  Bought them for my converse to cushion the soles that has gotten too thin. They’re perfect! Reasonably thick and very comfy.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-05-08,"
  Excellent insoles. Best memory foam insoles I have used. Highly recommend to anyone on their feet like me at work for hours and hours!
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,1.0,United Kingdom,2020-01-25,"
  Really disappointedNot comfortable at allSmells of fish glue as well
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,1.0,United Kingdom,2020-02-05,"
  Not suitable awaiting refund
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,1.0,United Kingdom,2020-02-18,"
  Took a while to reshape sadly ☹️
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-02-01,"
  Use them in my work boots, which are very uncomfortable rig boots. They are so comfortable that I forget I’m even wearing the boots.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-07-03,"
  Comfortable fit. No complaints
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,1.0,United Kingdom,2020-02-20,"
  Awful product. Hard and sore
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-01-03,"
  Very comfortable, mould to your foot and keep your feet cosy
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,3.0,United Kingdom,2020-03-16,"
  Nothing special. Actually hurt my feet because too thick at toe end. Sorry but binned them.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,4.0,United Kingdom,2020-01-12,"
  Soft and comfortable but not anatomical .
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-03-06,"
  Good product
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-07-21,"
  Great insoles, would buy again.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-05-09,"
  Helped a lot as I get sore feet after my walk . I got a size smaller perfect fit
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-06-24,"
  Best perches to date so comfy
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-03-15,"
  all good
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,4.0,United Kingdom,2019-12-05,"
  Brilliant product will definitely buy again I am on my feet all day at they work wonders
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-01-12,"
  Like these inserts. Very comfortable and fit shoes well
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,4.0,United Kingdom,2020-01-05,"
  My wife finds them very comfortable in her wellington boots
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,4.0,United Kingdom,2019-12-28,"
  Extremely comfortable makes any footwear more comfortable.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,3.0,United Kingdom,2020-03-08,"
  There was nothing to dislike..in my new work footwear..
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-03-14,"
  Very comfy, fit well and true to size.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-06-03,"
  Absolutely brilliant!
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-02-23,"
  Great item thank you
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-05-09,"
  Fits just right and is very very comfortable!
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,2.0,United Kingdom,2020-07-11,"
  Don’t buy it gets flat within a week!
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-01-05,"
  Fantastic product - slides in securely and stays in place.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,4.0,United Kingdom,2020-01-05,"
  Really comfortable
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2019-12-07,"
  Extremely comfortable and soft
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-06-21,"
  Good product
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2019-12-29,"
  Added perfectly to Walking boots
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-03-15,"
  Very comfy, and helps with ankle pain
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-03-08,"
  Comfort for work shoes
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-06-09,"
  VERY GOOD PRODUCT
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2019-12-31,"
  Colour and fit
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-03-03,"Really great.
Very comfortable liners.
Have used these in my wellies and it feels fab with the extra layer in.
Did help keep my feet a bit warmer and they just molded to my foot shape. This is like a memory foam type product. Feels squishy when you push it down and then resumes shape.
I'd buy these again for sure.
My size 7 was fitting as expected in my 7 boots.
There is not much ability to trim these, as they have a kind of ridge around the outside of the sole. So you would only be able to take a tiny bit off in my opinion , otherwise you would cut into the thicker padded section.
I had no issues with the size 7 fitting however.",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-07-02,"
  I ordered a size smaller than I needed as you can’t cut these like regular insoles . They fit perfectly, a little uncomfortable at first but by day 2 they had settled in nicely . Cool comfortable and they stay put in your shoes , no curling or sliding about.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-06-23,"
  these insoles are fabulous I've had a foot operation I've got screws in my foot and these were amazing to put inside your boots or any shoe / comfort at its best he's were taken from light sketches as my sketches are fabulous comfortable
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-06-07,"
  Simple but does the trick. I’m a dog walker so on my feet most of the day. These were perfectly size 5 and can move them from wellies to boots etc. Versatile and super comfortable!
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-03-12,"
  These are the second pair for my daughter . She  said they are very comfy for her  12 hour shifts . I think I’ll be back again once she needs a new set .
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2019-12-19,"
  Perfect fit! Very soft.  They stay on place and fit perfect my boots! !
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-04-01,"
  Too big, but look good quality and a no quibble return
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-03-29,"
  Fitted well into my boots, good quality and comfortable.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-07-11,"
  Feels grt used this for my weight tabbing.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-02-14,"
  Really good no problems fit lovely.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,2.0,United Kingdom,2020-07-27,"
  I had high hopes for these but within an hr at work my feet were killing me.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-01-16,"
  Done exactly what I wanted them to do. Made walking pain free
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United Kingdom,2020-06-13,"
  They are like walk on air, perfect fit and lasting.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,4.0,Canada,2020-05-31,"
  I really like these insoles, I bought 2 of them for shoes that were too wide for me. They are very well padded and seem sturdy so I expect them to last for a while. My concern however is that the sizes run at the size of your foot, and not the size comfortable to be worn with your size shoe, so I would suggest you order them a size smaller.
",9
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,4.0,Canada,2020-05-07,"
  The rigid base makes them fit snug into shoes and if the shoes are a size too large these insoles will help them fit properly but the memory foam aspect will mean that within a few weeks they will flatten from use. Just something to consider but very comfy otherwise.
",7
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,Canada,2020-05-20,"
  Memory foam insoles - thin ; purchased for my husband- construction worker stands most of the day...ordered size 13 Blk ( his normal size is a 12 )  they fit perfectly, he could not beleive the difference; reduced fatigue, light very comfy.  Will purchase a second pair.
",3
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,3.0,Canada,2020-06-21,"
  On the positive side they are comfortable and affordable . I would recommend purchasing one size smaller then your shoes.  If you purchase a size 11 insole 11 shoe I think you'll find they're too big.On the negative side I have had the worst time with my socks wearing holes in them ever since I started wearing these insoles.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,Canada,2020-07-30,"
  I love my running shoes, but I needed new insoles. These did the trick. So plush and comfy. HOWEVER, next time I'm going to order a half-size smaller.
",1
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,1.0,Canada,2020-06-22,"
  I bought the smallest size (US 5) and it doesn't even fit inside any of my 5 US size shoes, any! Too big, if you really what to buy it, buy a smaller size, but since my size is the smallest they have I had to return it.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,2.0,Canada,2020-05-30,"
  Don't know if I got a defective one, but they were uncomfortable, and the sides would cut somehow into the feet. Returned.
",1
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,Canada,2020-01-13,"
  They were too big for my shoe but customer service was great!
",1
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,1.0,Canada,2020-07-26,"
  Not true to size at all but 2 of these and the size is still small, they curl up in the front and become painful to wear.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,4.0,Canada,2020-07-06,"
  Minus one star only cause they dont stay in place very good... other then that very comfy..
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,Canada,2020-07-04,"
  Size 10 fit perfectly into size 11 Puma running shoe. Used for a couple weeks and so far so good.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,3.0,Canada,2020-06-13,"
  In the beginning the foam was good and would help from my feet hurting since I work long hours but it wears off after a few monthsBought it in March and by June it’s done
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,Canada,2020-06-07,"
  I usually wear a US 6 and I sized down to a US 5 according to other reviews. Very comfy! They're perfect for shoes that are too big for you.
",2
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,2.0,Canada,2020-06-09,"
  they are comfortable however i have to take them out and reposition them every 15 mins, i wear size 9mens and bought size 9 but the insoles move too much
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,Canada,2020-05-24,"
  Great fit
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,Canada,2020-07-03,"
  My mother loves them!
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,Canada,2020-05-23,"
  great
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,Canada,2020-04-25,"
  Love them
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,Canada,2020-06-12,"
  Great purchase ! Must have for extra comfort.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,Canada,2020-07-03,"
  Good
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United States,2020-02-09,"
  I have severe scar tissue that resulted from Morton’s Neuroma surgery that I had on both feet in 2014. Two years later, I had a revision on the right foot which increased the scar tissue problem even more. I went to PT twice a week for a year which helped reduce nodules and the pain of the scar tissue, however, I have struggled since to find comfortable shoes and to figure out how to reduce the pain of the scar tissue that I feel with EVERY SINGLE step. I now have custom 3/4 orthotics that I put in my shoes over these inserts. These are the best inserts that I’ve found so far because they provide a firm, but cushioned support for my feet. The more support, the less I feel the scar tissue. I’ve ordered several pairs and am thankful for some relief!!
",34
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,1.0,United States,2020-07-30,"
  I bought these to replace the insoles in my slippers. One side had a really rough texture which I assumed was intended to go on the bottom to prevent sliding. The otherside has slightly slippery texture. The foam doesn't reach all the way to the edge which I found rather annoying, and uncomfortable since my flat feet don't conform to the standard foot shape. I ended up turning them upside-down (rough side up) and putting the left in the right, and the right in the left, before putting my old flattened out insoles back on top. Made the slippers a bit snug, but much more comfortable for me this way.UPDATE: a little over two weeks and these have gone completely flat and no longer provide any cushion. Keep looking folks, these aren't worth it.
",9
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,1.0,United States,2020-02-13,"
  These inserts flattened out after I wore them for 1 day, although they were very thin to start with.  The imprint of my feet stayed in them and they never bounced back as memory foam should.  The bottom of the inserts seems to be made of cardboard and they are very firm, even after they warm up.  I am a long distance runner and after 1 use on my treadmill my feet felt like they had run on stone.  Memory foam should be thick and soft, yet supportive.  It should refill the impressions after you remove the shoes so they are thick and soft again for the next day.  Such a disappointment.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United States,2020-06-17,"
  Fantastic! I have plantar fasciitis on both feet, I need all the memory foam I can get. True to size. I am 5.5 shoe size, I put these in my walking shoe when the insole flattens out a bit or I simply don't like it. The size 5 fits a 5.5 perfectly. I put these insoles in everything from wellies to slippers. You will love these insoles, I promise.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United States,2020-04-09,"
  Sketchers are good but the soles wear out and they don't sell replacements. They glue the insoles in so you need a pair of pliers to get them out.  Just grip an edge and twist the insole around the pliers. (took me a while to figure that out)
",1
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United States,2020-07-11,"
  Love these but not sure how long they will maintain their form as they are breaking down after only a month.  I wear them in my running shoes and I’m in Texas where the heat is typically nearing or at 100 degrees
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,1.0,United States,2019-12-06,"
  There are awful. First of all, the shoe size is way off - the shoe size was way larger than my shoe - I couldn't even get it in there. There's no sticky part on the bottom so there's no way to stick it to the shoe. The bottom feels like it's made of cheap cardboard.
",2
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,4.0,United States,2020-07-20,"
  I like this insole.  Instructions said to order a size smaller than your shoe size.  I wear a 6-1/2 so ordered a 6, should have ordered a 5-1/2.  I was able to trim this one down but it would be so much easier to order the correct size.  I would recommend a full shoe size smaller.  I will re-order this item again.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,3.0,United States,2020-03-29,"
  I ordered a size 6 and they were too big to fit inside my size 6 shoes. Sent them back and reorder a size 5. They fit better, but I still find them too large on the front. They are ok for now. I was expecting a better fit.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United States,2020-08-01,"
  Purchased these inserts for a new pair of walker shoes.  Great fit and very, very comfortable for doing a lot of walking and standing.  Great product and very pleased I found these for my shoes.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United States,2020-05-12,"
  These insoles are the best. I and my wife are happier wearing our shoes. Our feet don't hurt anymore. Time will tell if these insoles last. I will update in a few months.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,2.0,United States,2020-03-21,"
  They are memory foam as advertised, but the bottom of them had a hard cardboard like material that nullifies any comfort from the memory foam. I returned them.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United States,2020-02-03,"
  Great insoles for the price. I bit bigger then what I expected for the size I ordered. I had to cut down but they work great.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United States,2020-02-09,"
  I needed thin but comfortable/cushiony inserts for my knee high boots that were killing my feet.  These work great and fit well into the boot.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,4.0,United States,2020-04-09,"
  Fit shoes perfectly. Not quite as soft as prior ones I have had but I think they will hold up better.
",0
Knixmax Women Men Memory Foam Insoles Comfort Shoe Inserts Shock Absorption Cushioning Foot Support Pads Inner Soles for Trainers Boots Wellies,shoes,5.99,5.0,United States,2020-07-03,"
  Very comfortable easy to fit and a great value better andless money thank more expensive types
",0
